E,I,R,q5,q10,q25,q50,q75,q90,q95,
84,255,177520,2806.95,2929.8,3134,3392,3719.25,4134.1,4336.5,
330,435,693965,529,581.7,664.5,783,929.25,1106.1,1258.05,
260,297,774482,406,447,521.75,624,756,913.5,998.3,
292,369,639718,546,598,704.75,842,1007,1229.9,1387.1,
319,201,205520,2756.9,2865.9,3066.5,3357.5,3703,4119.6,4368.55,
158,348,438291,906.5,1058.7,1281,1647,2097.75,2620.7,2986.3,
136,81,41514,2144.95,2222.9,2338,2479.5,2659,2826,2971.2,
239,130,899062,321.95,343,407,487,587.25,695.1,793.25,
425,319,597290,647.9,715.9,826.75,985.5,1201.25,1431.3,1612.45,
24,112,842375,190,216.9,277,368.5,482.25,615.1,706.35,
71,61,523752,336.95,401.9,527.75,727,1046.25,1363.1,1550.8,
456,179,358856,1902,2097.8,2494.25,2975.5,3524.25,4160.8,4696.3,
111,480,92876,2232.9,2290,2405.5,2567.5,2780,2967,3122.2,
28,50,349012,289.85,383.5,656,1297,2730.5,4485.9,5282.6,
371,459,968127,363,390,436,522,624.25,726.1,802.1,
430,388,135660,2276.75,2363.9,2480.75,2665,2878,3133.2,3337,
385,16,293437,2946.85,3166.1,3549.25,4047,4690.5,5549.2,6181.2,
496,157,937929,361,389,448.75,533,619,731.2,804,
179,408,469631,839.8,934.9,1139.25,1429.5,1797,2191.1,2438.3,
204,249,725172,421,453.9,525,644,798.25,970,1047.05,
3,426,996435,255.95,279.9,329.75,396,490.25,582.1,663.4,
335,5,747482,391,431.9,509.75,621,766.25,925,1028.15,
470,86,68223,2060.9,2118.9,2232,2379,2561.5,2745,2861.5,
18,427,675928,392,440,525,656,826,1013.3,1136.3,
494,453,459218,1098.75,1212.7,1436.75,1724.5,2101,2544.3,2898.25,
38,343,253394,3281.95,3466.4,3840.25,4342.5,4967.25,5645.2,6150.5,
482,177,840511,410.95,447,516,600.5,706.25,818.1,907,
49,56,5999,2154,2211.8,2308,2436,2582,2784.5,2930.5,
444,185,12656,1874,1916.9,1999,2115,2259,2413.2,2517,
9,374,597679,415,469.8,583.75,746,942.75,1201.7,1387.15,
14,477,933673,291,314.9,371,455,546.5,673,768,
463,186,536550,716.8,804,984.75,1185,1443.5,1767.3,2005.5,
452,179,999344,347.95,372,417.75,485,566,673.3,748.45,
25,31,758846,135,163,217,312.5,432.25,579.6,694.2,
