R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
1.1,1,1,5000,6,9,16,45,1399,1569,1644.05,
6,1,1,5000,167,170,174,180,187,195,201,
1.1,500,1,5000,1059.95,1083,1116,1164,1230.25,1310,1352.05,
6,500,1,5000,152,153.9,158,163,169,177,182,
1.1,1,500,5000,1103,1121.9,1155,1206,1262,1328.1,1370,
6,1,500,5000,152,155,159,164,171,178,184,
1.1,500,500,5000,1031.95,1051,1088,1142,1198,1263,1301.15,
6,500,500,5000,150,152,156,161,168,176,182,
1.1,1,1,1e+06,5.95,8,15,31,80,181.3,305,
6,1,1,1e+06,180,182,187,193,200,208,213,
1.1,500,1,1e+06,939.95,1042.8,1293,1617,2012.25,2489.4,2756.05,
6,500,1,1e+06,161,163,167,173,179,188,193,
1.1,1,500,1e+06,655.95,784.9,1017,1311.5,1773.25,2221.1,2700.2,
6,1,500,1e+06,162,164,167,173,180,188,192,
1.1,500,500,1e+06,1052.75,1196.4,1387,1683,2044,2476.3,2814.45,
6,500,500,1e+06,158,160,165,170,177,184,190,
3.54051937814802,385,50,35876,190,193,198,205,212,221.1,228,
3.86738688466139,17,322,393996,192,194,198,204,212,220,227,
5.88136944868602,270,197,561794,158,160,164,169,176,184.1,188.05,
1.13486633242574,257,284,637143,1814.95,1859.9,1936,2040,2184,2340.1,2418.1,
3.16725736916997,459,415,851263,226,230,236,243,253,265,275,
2.53278024662286,29,45,519487,286,289,295,305,316,329,337,
2.85006077594589,207,473,637698,243,245.9,252,260,270,282,289,
4.58608505332377,482,464,719743,174,177,181,187,193.25,201,206.05,
4.81989363529719,115,9,504746,175,177,181,187,194,203,209,
2.069468277134,425,207,905280,364,368,377,391,407,426,439.05,
5.26551092432346,446,6,804636,167,169,173,179,187,194,202,
1.90348404019605,73,465,435864,370,375,384,398,413,431,444,
4.28346880006138,296,23,874941,188,191,196,202,210,220,226.05,
5.25366343157366,44,428,734077,167,169,173,178,186,194,199.05,
3.09778089013416,98,8,727109,241,244,249,257,268,279,286,
3.87814703688491,482,496,961766,197,200,205,211,219,231,238,
2.68814629551489,429,13,184673,239,242,248,256,267,276.1,284,
4.52610804217402,267,487,258427,170,172,176,182,189,198,202,
4.54862784470897,8,484,615137,176,179,183,189,196,205,211,
1.85399679504335,499,408,43463,337,342,350,362,376,392,405,
1.80086935495492,102,31,836887,472,478,488,505,527,551,570.1,
3.17388177239336,54,439,117055,209,212,216,223,232,241,249,
2.59857274412643,495,491,752223,267,270.9,277,287,299,311,319,
4.30318818620872,453,93,190092,173,175,180,186,193,201,208,
5.33990825242363,417,486,997341,166,169,173,178,185,194,201,
