R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
2.73939050055575,237,268,673166,255.95,259,265,274,285,298.1,307,
2.30885461892467,377,186,705423,305,309,317,327,341,354,366,
4.55340606195852,66,223,351336,174,177,181,187,195,203,210,
3.09247245222563,124,239,8617,210,212,218,225,234,244,251,
4.96847829500795,86,481,157964,162,165,169,174,181,189,194,
4.36619254194666,403,146,419944,177,178,183,189,196,205,210.05,
4.24303929760819,439,422,820009,184,186,191,197,205,214,220,
5.52709889639169,296,375,623993,161,163,167,172,180,187,193,
2.00742214571103,161,63,101506,323.95,328,336,348,360,373,386.05,
4.03445845168666,133,116,462067,189,191.9,196,202,209,218,224,
1.17370828114566,352,175,593338,1362,1383,1439,1506,1586.25,1693,1752.05,
2.35578004140174,10,290,246646,281,284.9,291,301,311,323,333,
5.16712847284041,486,474,391284,161,163,167,173,179,188,194,
3.71731557576335,469,94,986469,206,209,214,221,229,240,248,
5.41281177465804,222,333,270505,159,161,165,170,176,185,191,
1.61287208424299,308,448,861985,551.95,559,573,593,617,646,670,
3.33129042762215,46,314,771087,222,225,231,238,248,259,266,
5.92676147932769,272,38,533758,158,160,164,170,177,184,190,
1.50638808151591,185,23,908860,691,702,720,745,780,821.1,852.05,
2.97338481453597,334,368,124717,215,218,224,231,240,250,257,
4.74390836311504,466,128,76163,164,166,170,176,183,191,196,
5.74907834290061,327,312,622541,159,161,165,170,176.25,184,188.05,
2.54865627852269,423,276,810302,278,282,288,298,311,325,334,
1.82399043485057,30,188,708301,441,447.9,459,473,490,511.1,528,
3.53131743664853,210,397,54122,191,194,198,204,212,220,228,
1.35259786802344,308,255,240054,641,649,667,691,723,755,777.05,
4.78485274859704,131,475,960801,177,180,184,190,197.25,206,211,
5.91775727178901,496,412,26191,151,153,157,162,168,176,180,
5.45084509258159,174,307,997099,168,170,174,180,186,196.1,203,
1.12837619364727,202,321,68528,1029.95,1046,1078.75,1122,1179,1235,1281,
3.9455272172112,447,290,14418,177,179,183,189,197,206,212,
2.90028351955116,26,337,938256,257,260.9,266,275,286,299,307.05,
5.91886727912352,289,454,984674,160,162.9,166,171,179,188,192.05,
1.10517268017866,118,99,980583,655.6,775,1041.75,1455.5,2051.5,2621.5,3161.2,
2.17892089085653,374,433,992807,346,350,357.75,370,384,402,412.05,
1.51758312368765,406,174,18915,458,465,478,494,514,538,555,
2.44673952630255,97,226,24252,258,260,267,275,287,298,306,
5.57616905835457,25,360,12039,156,158,163,168,174,183,187,
3.01242940826342,86,462,443582,227,230,236,243,253,262.1,271,
5.19732749382965,142,72,776677,171,173,177,183,191,199,206,
1.70213514217176,418,499,463518,430.95,435,446,461,480,505,519,
3.73329232670367,44,297,587283,200,203,208,214,223,234,242,
4.4669653539313,70,98,994804,190,192,197,202,210,219,225,
4.36038930511568,38,335,10578,172,174,178,184,191,198,203,
3.76391769223847,345,139,246911,188,191,195,202,210,220,227,
1.10445131482556,287,418,344273,1480,1509,1563,1642,1747.25,1864.1,1951.15,
4.85103058526292,301,201,573551,170,172,176,182,189,198,203,
4.06601276178844,208,207,978055,196,198,203,210,218,228,236,
3.30051541260909,482,335,296119,204,207,211.75,219,227,237,246,
5.67932833454106,72,498,209740,157,158,162,168,175,182,186,
3.18958367214073,259,465,999008,231,235,241,249,259,270,278,
5.99680939118844,460,169,709755,157,159,163,169,175,184,189,
2.11495987556409,296,476,389391,315,318,325,336,349,364,373,
1.78296961106826,298,406,989322,472,479,493,508,528,550.1,568,
5.26175587684847,339,380,84652,157,159,164,169,176,184,189,
4.12692179540172,229,180,119933,177,179.9,184,190,197,206,211,
2.79547056804877,212,497,40230,224,227,233,240.5,250,262,268,
5.12309535916429,52,433,998096,173,176,180,185,192,200,206,
5.04947033056524,467,372,5582,157,160,164,170,177,186,192.05,
2.6180704808794,488,258,406068,252,255,260,269,279,291,302,
1.81809378813487,256,402,15793,347,352.9,361,373,388,404,415,
5.99665451464243,453,86,267020,153,155,160,165,172,180,184,
1.23647268924397,101,417,860507,1367,1392.9,1439,1505.5,1581.25,1680.5,1763,
2.63283297102898,327,8,998967,284,287,294,302,314,328,340,
3.50214337089565,237,17,336899,203,205,210,217,225,234,241,
3.24719362643082,110,35,855560,235,238,243,251,260,271,277,
5.62619828528259,283,17,948838,166,167.9,172,177,184,193,197,
2.04017792590894,387,19,974922,384,388,399,412,429,447,460,
3.80562460909132,167,492,935069,202,205,210,217,225,235,243,
5.34170974686276,428,15,121298,158,160.9,164,170,177,184,189,
2.84072579187341,262,39,286486,235,237,243.75,251,261,274,281.05,
4.07480340134352,82,433,306297,182,184,188,194,202,211,217,
2.18307786688674,386,477,15295,279,282,288,298,310,324,333,
5.73716651420109,373,94,8512,154,156,160,164,171,179,184,
4.91301623864565,40,203,995481,179,181,186,192,199,207,214,
3.61167746214196,329,445,961040,209,212,217,225,233,243,250,
2.69606320764869,493,495,945828,266,269,276,285,296,308.1,319,
4.96074041842949,128,74,267363,167,170,174,180,186,194,201,
4.68704900327139,468,14,954469,179,180,185,191,199,207,212,
3.52354942290112,233,44,8150,193,196,201,207,214,223,230,
1.60838580864947,142,15,259007,472,478,491,506,525,548.1,569.05,
2.22565888422541,312,11,282334,296,300,307,317,330,343,353.05,
4.25744996473659,257,35,826072,188,190.9,195,202,210,218,223,
4.56813790970482,113,7,119899,174,176,180,185,192,201,207.05,
1.23300611306913,203,420,8106,724,731.9,755,785,820,863,895,
5.97675568102859,187,481,407821,155,157,162,167,173,181,187,
1.2110815549735,413,17,54929,789,801,821.75,855,892,933.4,965.1,
4.48527857996523,498,438,653534,176,178,182,189,197,205,212,
3.07624836126342,373,22,581863,228,231,237,244,254,264,272,
1.32247854571324,342,13,727949,904,918.9,945.75,982.5,1033,1080.1,1109.05,
5.6944203844294,473,500,917778,161,163,167,172,179,188,194,
3.20205089468509,422,497,22174,200,202,207,214,222,232,239,
3.67456195007544,175,486,10066,184,187,192,198,206,214,220.1,
5.86220245019067,451,83,936918,162,163,167,173,180,189,195,
1.76358790879603,287,29,48596,373,378,388,402,417,434,448.05,
1.3145531945629,366,287,989779,1080,1098,1138.75,1186,1247,1316,1365.1,
2.38443485596217,380,153,973940,311,316,323,333,346.25,362.1,374,
1.43002670831047,227,499,408686,598.95,606,624,647,675,709,734.05,
3.45733966468833,192,45,987340,225,227,232,240,249,259,267,
1.95198840859812,95,448,691162,382,387,397,409,427,446,461,
4.60268901970703,391,481,148887,166,168,172,178,185,193,199,
2.74550794626121,64,100,48905,238,241,246,254,264,275,284.05,
3.40158291591797,212,8,19306,199,202,206,213,222,232,238,
5.32285938546993,205,488,837910,166,168,172,177,185,193,199,
3.90090077256318,354,168,810288,196,199,204,210,219,229,236,
5.60859922228847,106,44,306085,161.95,163,167,173,180,186,192,
2.4755771631375,469,465,403277,261,266,273,282,293,306,316,
3.48651700587943,308,481,453637,200,203,208,215,223,234,241,
4.96055011672433,278,477,694825,169,171,175,181,188,196.1,202,
1.12073888597079,484,459,971432,2223.7,2427.8,2785,3210.5,3816.75,4482.4,4981.25,
1.29597654731479,55,242,112343,699.95,710,727,751,781,815,841,
5.84736184808426,8,87,796603,167,169,172,178,185,193,199.05,
3.33998793754727,7,319,87332,203,206,211,218,226,235,242,
5.37649007821456,7,250,611158,167,168,173,178,185,193,200,
5.9770109746838,6,396,16682,154,156,159,165,171,179,184,
