R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.1837265,180,138,399888,54,58,63,71,81,93,102,
0.4545045,161,436,422641,85,90,99,112,128,148,160.05,
0.5469951,430,355,240661,116,123,135,151,171,198,213,
0.4960802,128,277,550995,82,88,97,110,126,145,157,
0.7556718,90,274,692201,129.95,138,157,183,217,253,280,
0.2618578,318,495,701957,68,72,78,87,97,109,119,
0.6415825,236,244,623060,115,121.9,134,152,176,205,224,
0.5911866,290,1,989904,93,98,110,125,145,172,189.05,
0.2413029,356,213,481208,66,70,75,83,93,105.1,114,
0.878024,422,179,826444,218,234,264,302,348,402.1,442.1,
0.3414088,115,401,284883,70,74,82,93,106,124,137,
0.697569,44,115,191271,99,112,133,160,191,227,250.05,
0.8183856,460,64,116596,273,289,333,384,452,538,602,
0.5323502,223,375,858422,92.95,98,107,120,139,159,171,
0.1492165,14,332,752239,46,48,53,59,69,79,88,
0.1072171,348,83,47497,55,59,64,71,80,91,96,
0.8321882,252,309,334557,233.95,250,280,329,388,452,499.05,
0.4051146,491,28,573269,85,89,97,107,122,138.1,152.05,
