R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.1,1,1,5000,5,6,10,16,23,31,41,
0.9,1,1,5000,6,7,13,28,72,167.2,274.2,
0.1,500,1,5000,59,62,66,72,81,91,98,
0.9,500,1,5000,683.95,754.9,908,1122,1372.25,1667.2,1853.1,
0.1,1,500,5000,45.95,48,52,59,67,77,86,
0.9,1,500,5000,539.85,592.7,731,925.5,1156.25,1467.1,1699.15,
0.1,500,500,5000,60,63,68,75,84,93,100,
0.9,500,500,5000,788.9,864,1015,1212,1467.5,1743.1,1934.5,
0.1,1,1,1e+06,5,7,10,16,23,32,38,
0.9,1,1,1e+06,6,8,13,25,51,91.1,125,
0.1,500,1,1e+06,58,60,64,70,79,88,96,
0.9,500,1,1e+06,213.95,230,257.75,294.5,344,400,438.05,
0.1,1,500,1e+06,44.95,47,52,58,67,76,84,
0.9,1,500,1e+06,174,190,217,254.5,302,352.1,397,
0.1,500,500,1e+06,59,62,66,73,82,91,96,
0.9,500,500,1e+06,232,249,276.75,314,361,413.1,451.15,
0.489065012522042,3,451,960096,74,79,87,101,114,128.1,142.05,
0.43492455072701,282,134,407983,83.95,88,97,108,123,142,159,
0.590104336850345,447,486,604918,120.95,126.9,138,155,176,200,213,
0.413725421763957,340,489,42646,91,96,106,118,134,153,167.1,
0.550549609772861,102,46,70672,84,89,102,118,139.25,165,184,
0.792375186644495,188,215,672691,152,163,185,214,249,293,322.1,
0.570000271499157,442,45,970593,101,108,117,131,150,172,186,
0.491032150946557,13,8,982496,32.95,37,47,57,74,89,101,
0.117216359451413,204,273,482702,53,56,61,68,76,87,94,
0.619194463640451,483,148,44468,140,148,163,185,213,245,267,
0.366174892149866,498,413,913477,81,84.9,92,102,114.25,129,140,
0.359111430123448,9,349,279757,62.95,66,75,85,99,114,126,
0.732359500229359,15,484,315073,144.95,156,175,201.5,236,274.1,301.05,
0.296262942627072,468,16,364739,73,77,84,94,105,118.1,129,
0.309752079285681,71,455,880878,63,66,73,82,93,106,116.05,
0.680584066174924,224,493,952774,123,130,143,160,185,214,234.05,
0.331960747390985,355,28,966087,69,73,80,90,102,113.1,124,
0.709741325303912,461,13,656596,142,150,167,191,221,257.1,288,
0.343023280799389,29,7,125031,39,43,51,62,75,88.1,95.05,
0.742210277356207,273,492,61006,207,220,243,276,330,380.1,415.05,
0.635177995637059,2,104,605549,65,71,82,99,125,148.1,168.05,
0.263611280918121,363,303,7598,73,76,83,91,102,116,125,
0.762768959626555,141,173,6265,181,194,225,267,322.25,387.1,427,
0.208236495405436,500,267,823867,66.95,70,75,83,94,104,113.05,
0.545379013381898,3,410,250796,90,96,106,122,141.25,164,177.05,
0.230973111838102,120,91,583716,53,56,62,70,80,92,101,
0.735949909314513,473,295,961186,145,153,168.75,190,218,252.1,270.05,
0.872862412780523,438,220,566656,262,274,310,356.5,421,491,561,
0.187276042439044,68,491,584686,55,57,63,70,79,90,97,
0.306546001695096,450,479,280783,78,82,89,98,110,125.1,139,
0.639925065077841,194,19,974623,92,100,112,132,151,178,197,
0.85611284840852,120,39,442105,168,186,222,268,322,390.2,441.05,
0.765073659271002,494,4,56000,221.95,239,268,305,353,417.1,464.15,
0.498689623735845,486,135,111173,106,111,121,136,154,176,190,
0.767038102634251,46,249,990389,109,118,135,158,192,222,251.05,
0.23969288431108,4,159,106091,43,46,51,60,70,82.1,90,
0.249553973600268,413,495,991129,68.95,72,78,87,97,109,117.05,
0.571780745685101,224,484,38267,120,128,142,161,184,211,224.05,
0.741422996670008,479,458,253512,197,206.9,231,261,303,354,390,
0.396110288053751,20,54,673514,43,48,56,66,80,93.1,108,
0.186723801866174,452,499,266212,67,70,75,83,94,105,115,
0.196725693531334,10,20,982145,26,29,34,43,52,62,70.05,
