R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.761312840217724,218,90,133823,177,190,214,251,296,352,392.05,
0.426110309297219,298,359,578914,86,91,98,110,125,139.1,149,
0.669722037920728,227,343,855445,120,126,140,157.5,182,208,230,
0.375407913541421,301,110,168447,79,83,90,102,115,130,141,
0.38164608062245,57,417,337173,70,74,82,93,107,123,133,
0.510602334598079,144,221,230626,88,93,105,121,139,159,174.05,
0.319007700709626,335,47,752411,69,73,80,89,101,115.1,124,
0.864044683231041,448,136,617175,238.95,251,283,328,381,442,484,
0.824841425409541,159,464,956107,162,174.9,196,224,260,303.1,328.15,
0.464485960239544,33,153,689922,63,67,75,87,102,120,135,
0.248430749373511,266,248,444782,65,68,74,83,94,105,112,
0.219420156050473,453,390,294694,69,72,79,87,97,109,117,
0.550307073695585,422,182,819145,102,107,118,132.5,152,173.1,186,
0.5910494312644,388,480,703419,117,121.9,134,149,170,194,209.05,
0.720365858767182,196,58,469208,128.95,137,154,181,213.25,249,277.1,
0.174899201728404,86,268,91375,52,55,60,68,77,87.1,95,
0.813305594408885,15,444,355423,185,201,227.75,268.5,318,372.1,423.05,
0.128665757998824,480,21,514915,60,62,67,74,83,96,104,
0.298570086490363,121,288,933134,62,65,71,80,92,105,115,
0.657734282501042,362,317,25496,154.95,165,186,212,241,277,302.05,
0.891851853393018,32,480,943197,183.95,199,224.75,265,312,366.1,395.15,
0.1006218791008,264,408,965541,54,57,62,68,76,87,93,
0.113187595270574,388,462,81119,59,62,67,74,83,93,99,
0.882875778339803,457,148,43119,497.9,541,629,754,908.25,1074.2,1229.2,
0.440101226605475,352,242,975090,83,86,95,107,121,136,150,
0.202904235571623,244,264,976372,60,63,67.75,75,86,97,105,
0.288834495842457,496,88,19109,76,79,86,97,110,126,135,
0.501752489432693,12,456,29717,88,93,105,120,139,163,175,
0.716675387136638,476,173,998451,136,143,158,177,203,234.1,261.05,
0.587091339752078,195,300,983125,97,103,112,127.5,148,172,189,
0.135148594714701,46,55,710558,40,42,47,53.5,62,73,81,
0.898241537064314,204,95,406261,261.95,294,346,415.5,503,609.1,677.05,
0.805444927699864,26,378,16909,217,233,270,326,393,481.2,545,
0.624321341514587,26,355,130337,107,118,132,151,179.25,210,230.05,
0.471166152134538,487,370,149576,103,108,117,131,150,172,187,
0.693007106333971,17,262,969335,92,99,113,132,156,186.1,203.05,
0.116042710281909,21,72,176738,34,37,42,49,57,67,75,
0.737017269060016,450,90,277855,180,190,210,241,279,322,351,
0.886372615210712,387,456,918497,224,237.9,265,303,351,405,437.05,
0.208417475037277,482,472,932544,67,71,75,83,93,104,111,
0.869460733048618,14,475,52308,328,371.7,442,549,691.25,821.1,936.3,
0.339219185337424,15,434,40970,65,68,76,87,100.25,113.1,127.05,
0.758261930942535,19,468,741838,133,141,159,184,216.25,251.1,280,
0.577790215238929,486,321,373059,120.95,127,140,156,178,202,223,
0.358914486318827,470,452,992838,80,84,90,101,114,130.1,143,
0.530519855767489,438,127,63167,112,119,131,147,168,195,213.1,
0.400989350862801,19,218,860601,57,62,69,80,92.25,108,119.05,
0.101442482322454,123,202,540807,48,50,55,62,71,78,85,
0.205440559983254,12,2,552370,24,27,33,41,50,61,68,
0.106400791183114,477,500,774291,59,62,67,74,83,92,98,
0.887226091139019,38,166,722181,152,168,196,238.5,297,365.1,408.05,
0.289499848335981,3,55,279425,33,36,43,53,64,79,88,
0.867615561187267,379,24,989872,180,193,217,252,293,339.1,374.15,
0.435930731706321,22,58,12364,50,55,64,77,93,112,128,
0.166474500484765,130,451,463552,56,59,64,72,81,91,99,
0.636585813201964,422,13,710993,118,125,137,153,175,202,218.05,
0.562056289985776,6,213,533640,73,79,90.75,107,127,149,162,
0.723007120192051,486,458,93823,197.95,209.9,234,267,302.25,350,378.05,
0.706763608194888,6,153,43413,103,112,134.75,161.5,198.25,237,277.05,
0.503114976920187,23,359,971646,72,77,85,99,115,132,151,
0.768945386074483,490,73,766356,163,171,190,216,249,283,319.05,
0.106175949797034,394,64,16399,57,60,65,71,80,88,95,
0.320994407497346,2,370,587389,57,60,67,77,89,105,117,
0.10430897437036,476,49,273749,58.95,61,66,73,80,88,94,
0.490526789054275,493,11,904824,91.95,96,106,119,133.25,153,166.05,
0.279376285709441,500,363,565640,73.95,77,83,93,105,119,126,
0.343406837619841,474,10,486879,79,82,89,100,113,129,141,
0.835854056477547,487,254,156223,308,334.9,371,428,500,586,640,
0.151683979481459,83,423,881489,52,54,59,67,75,86,92.05,
0.765796276926994,21,20,895383,59,66,84,106,136,169,198,
0.865592515096068,29,58,217065,139,160.9,202,267,355,449.2,502.2,
0.895306883566082,440,411,261420,418.95,450,508,594,700,821,892,
0.352723433636129,2,17,967400,21,25,30,40,51,63.1,72,
0.266438687033951,460,110,869223,68,72,78,87,99,110,118.05,
0.526811216957867,138,7,969619,72,77,87,99,115,136,153.05,
0.151927458308637,405,7,988730,57,60,66,73,82,93,100,
0.228140155598521,21,484,669714,55,58,63,72,82,94,101.05,
0.320897596329451,400,478,39624,81,85,92,103,116,131.1,142,
0.673774993978441,490,479,553072,147,155,170,193,221,252,275.05,
0.260090786777437,161,58,25817,59,63,69,78,89,102,113,
0.597589962370694,287,496,213735,125,133,145,165,189.25,218,236,
0.575022261217237,332,2,17533,115,122,135.75,154,177.25,207,225.05,
0.898485878482461,72,292,139050,359.95,409,486,602,745,908.5,1067.05,
0.66845841947943,470,14,107393,154.95,162,180,205,240,276.1,307.05,
0.111692591384053,70,448,45928,49,52,58,65,73,84,91,
0.854893366247416,94,416,521261,209,224,253,299,358,417.2,472.15,
0.227161744609475,482,450,12984,72,75,81,90,101.25,115,122.05,
0.795511988922954,10,5,665040,37,45,61.75,87,121,163,192.05,
0.432407587952912,481,497,486843,95,99,107,120,134,151.1,164.05,
0.107206836156547,11,15,886514,25,27,32,38,46,56,63,
0.111337755434215,7,489,377369,46,48,53,60,69,80,87,
0.634730897657573,470,449,972374,122,128,140,158,177,202,218.05,
0.651313260756433,98,497,997160,106,112.9,125,143,163,187.1,203,
0.478355588950217,264,10,440570,84,90,100,114,129.25,150,162.05,
0.830882036313415,382,42,10128,307.95,334,380,447.5,539.25,646,706.05,
0.257421637885273,75,477,222968,62,65,72,80,92,105,116.05,
0.121476389840245,78,234,999873,46,48.9,54,60,68,79,83,
0.171395412832499,400,4,175727,61,64,70,78,87,98,106,
0.776885791495442,364,498,658612,181,191,211,237,273,312,338.05,
0.591012986749411,64,18,221404,74,79,93,113,137,166,184.05,
0.461708559840918,178,480,816355,85,88,96,108,124,141,150,
0.368339789286256,458,26,38820,84,88,96,108,121,135.1,147,
0.899247306212783,445,102,925153,223.95,241.9,268.75,304,360.25,420.2,465.1,
0.685175386071205,170,447,7343,161,171,191.75,221,260,298.1,321,
0.443558913469315,195,484,97982,91,97,106,119,138,158,170,
0.853125382959843,467,496,445879,274,292,324.75,371,426,493,526.05,
0.181446385756135,462,227,844034,63,66,72,80,89.25,100,107,
0.608893915452063,114,78,850009,83,89,102,116,134.25,158,171,
0.419137340784073,479,3,390408,87,91,99,112,128,145,156,
0.888354771584272,78,307,996524,170,181,206,246.5,292.25,345.1,379.05,
0.895304347202182,476,494,691085,276.95,296,337,382,442,513,565.05,
0.146032897010446,318,199,355997,57,60,65,73,82,94,99.05,
0.191530643031001,24,6,11942,31.95,34,40,49,58,68,76,
0.264919144660234,14,187,991202,45,48,54,63,74,87,97,
0.851377904042602,403,497,5430,418.95,447.9,514,602.5,704,841.4,933,
0.113251796923578,488,20,832853,58,61,66,72,81,91,99,
0.303625909425318,431,72,997577,70,73,80,88,101,114,123.05,
0.627733847498894,52,412,623916,99,107,122,139,162,191.1,211.05,
0.389276950992644,81,351,19917,75,80,87,99,113,129,143,
0.667897159233689,361,14,964701,112,121,134,151,173,197,213.05,
0.785412916168571,472,111,13230,253,268.9,306.75,351.5,413,477,530.1,
0.135170665197074,468,170,35932,61.95,64,69,77,85,96,103,
0.421702804788947,485,248,11157,96,101.9,111,122,138,159,174.05,
0.802201603353024,258,162,987243,145,157,173,199,231,266.1,306,
0.799837872385979,485,294,969657,172,181,199,223,256.25,295,321.05,
0.235285746864974,181,5,905766,55,58,64,71,82,94,102.05,
0.55836869161576,68,26,6518,73,80,94,111,134,160,184,
0.339796338416636,12,487,902244,62,66,73,83,94,106,116.05,
0.864562856964767,224,346,815803,190.95,206,234,273,314,370,403.05,
0.391869821585715,426,226,658542,84,88,95,105,119,136,147,
0.22477677706629,499,6,706867,67,70,76,84,94,106,116,
0.651510727219284,7,344,365481,103,110,127,147,172.25,198,218.05,
0.559116406366229,131,500,983741,93,97,107,121,138,159,173,
0.526475457660854,30,499,199924,93,101,111,125,144,169,184,
0.752046109177172,335,483,967359,149,156,174,197,223,254.1,275.05,
0.511309301294386,451,25,541473,98,104,114,128,145,166,185.05,
0.19048741851002,202,359,199650,60,63,69,77,86,98.1,106,
0.258653180114925,199,494,995283,64,67,73,81.5,92,103.1,113,
0.11839842107147,264,497,595622,57,59,64,71,80,90,98,
0.545925072394311,499,468,902147,106,112,122.75,136,154,174,188,
0.894699438475072,69,5,589641,137,156.9,192,243,310.25,385,443.05,
0.533830705098808,18,465,772142,81,88,98,112,128.25,150,164,
0.601225444115698,483,410,41428,143,148,161,182.5,209,241.1,260.05,
0.216535337269306,8,365,14917,52,54.9,60,69,79,92,100.05,
0.879706952720881,41,156,10217,271,314,402,528.5,674.25,850,977.549999999999,
0.556258588284254,374,480,10720,127.95,133,146,163.5,183.25,210,230,
0.401023253425956,498,419,81528,94,99,106,119,133.25,151,166,
0.643210886605084,165,32,6956,116,125,143,166,196,231,255.05,
0.676406240276992,8,21,337615,44.95,51,65,87,115,148,173,
0.779543377272785,31,500,233090,180.95,197,226,262,308,361.3,406.05,
0.419865476340055,459,32,996980,80.95,86,94,104,118,132,142,
0.848582667298615,46,84,906803,109.95,120,144.75,176,214.25,262,300.05,
0.812313582375646,291,103,513945,186.95,198,225,257.5,305.25,357.1,405.05,
0.165591906569898,312,341,8659,61.95,64,70,77.5,87,98,107,
0.885940256901085,325,32,160554,368,402.9,465.75,560,692,836,929.15,
0.10309715103358,495,338,440626,60,62.9,67,73,83,93,100,
0.18375603184104,20,97,947604,38,41,46.75,54,63,75,85,
0.40234298221767,70,26,119795,57,62,70,82.5,98,117,128.05,
0.876534768566489,500,8,465736,276,295,340,391,453,527.1,573.2,
0.38202441316098,239,493,978181,77,80,87,97,110,123,132,
0.896865083836019,437,488,990731,228,242.9,267,306,360,406,450,
0.584311465919018,101,486,424091,106,113,125,143,164,186,203,
0.434380231425166,44,483,993126,73,77,84,94,109,125,135,
0.108901595883071,19,365,804982,44,46,51,58,66,77,83,
0.479287649132311,25,483,510365,80,85,94,109,125,142.1,154,
0.60904907155782,402,31,293863,121,128.9,143,162,187,214,233.05,
0.517021382041276,7,23,316909,36,41.9,51,65,83,106,127.05,
0.508733408898115,468,466,991774,97,102,112,125.5,141,158.1,174,
0.308600456826389,480,471,678116,77,80,86,96,109,124,132.05,
0.348171553574502,420,488,253459,82,86,94,105,117,133,142,
0.79602796304971,96,52,74125,161.95,177,208,255,312,379,425,
0.369644892401993,85,140,544405,60.95,64,72,83,96,111,120,
0.898801431432366,8,341,637764,193.95,209,250,302,370,449.1,512,
0.285862222500145,386,479,835054,72,75,82,90,102,114.1,123,
0.281970147974789,4,22,657495,24,27,34,42,53,67,75.05,
0.702408113330603,122,2,765741,95,102,117,138,162,189,207,
0.873929931037128,178,421,242114,316,340.9,389,458,548,655,714,
0.85644839219749,340,7,320209,254.95,268.9,314,367,431.25,521,576.25,
0.697884384915233,356,211,404233,149,159.9,178,202,234,264,291.05,
0.154746135510504,240,70,72523,55,58,64,71,80,93,100.05,
0.210993409901857,361,51,122536,63,66,73,81,92,106,118,
0.271876727975905,439,327,104305,74,77,84,93,106,121,130.1,
0.797419377416372,389,429,184345,247.95,264.9,296,335,392,440.1,505,
0.12058822195977,471,363,997412,59,62,67,74,82,92,98,
0.4322041913867,499,108,625703,88,93,102,113,128,143,154,
0.112988257966936,366,262,699497,58,60,65,71,78,88,95.05,
0.595296156220138,467,14,573754,112,119,133,149,171,198,212,
0.166129859536886,185,146,625987,54,57,62,70,79,89.1,97,
0.837361531332135,330,233,800703,187,200,225,257,299,346,376,
0.865902158990502,281,274,72661,385.95,416.8,471.75,556.5,668.25,787,868.1,
0.66283793207258,6,120,915499,67,73,88,106,127,156,177,
0.74032979644835,229,211,668696,140,151.9,168.75,192,222,256,287.05,
0.742135098204017,109,6,19505,128,144,168.75,204,252,309.1,358.1,
0.561948644928634,485,109,991461,102,108,118,132,150,171,186,
0.130258622020483,263,86,406812,54,58,62,69,78,88,94,
0.487458035349846,418,19,17643,101,106,116,132,151,171.1,191,
0.187740178592503,499,150,392608,65,68,74,82,93,104,113,
0.880349077470601,499,382,855407,233,245,274,314,365,418.2,451,
0.300173760950565,134,161,14877,64,68,74,84,95,108,119,
0.886264041811228,112,496,476415,259.95,283.9,323.75,378,448.25,528.1,577.1,
0.120077318698168,137,19,332217,47,50,55,61,70,79,85,
0.423901354707778,2,293,159600,66,71,79,92,108,127,142,
0.49492127969861,113,12,615969,68,73,83,96,115,135,148,
0.327586086094379,491,262,898957,76,80,87,96,109,123,132.05,
0.899861590005457,378,417,580757,300.95,317,354,409.5,478,569.1,629.1,
0.219495189189911,51,39,381902,42,45,51,59,70,83,89,
0.478097532317042,495,492,752188,98,102,111,124,141,157,170,
0.100607226788998,24,11,37408,30,33,38,45,53,62,71,
0.333496315963566,254,25,14074,69.95,74,82,93,108,123,133,
0.756927666813135,419,374,344483,191,204,227,256,300.25,342.4,374.05,
0.546656343340874,482,493,307788,117,123,134,150,171.25,195,214.1,
0.716454931348562,95,252,182209,139,149,169,195,235,281,305.15,
0.756676889210939,61,185,429247,124.95,136,158,186.5,225,267,303.05,
0.737487930245697,483,443,821667,157,165,184,206.5,237,267,289.05,
0.632369612529874,496,443,179230,148,154,170.75,191,219,246,268,
0.897885994054377,128,26,70859,329.95,375,464,603,781,1011.3,1168.1,
0.110003214888275,403,193,911903,57,60,64,71,79,90,96.05,
0.149511465057731,33,463,148546,51,54,59,66,76,86,93,
0.898101668991149,157,457,21716,592.7,659,785.75,958,1195,1444.1,1572.45,
0.398846732638776,7,474,597003,68,72,80,91,104,119,131,
0.460621713660657,412,81,279519,93,98,107,121,139,158,170,
0.279732902534306,67,497,441303,62,65,72,81,93,106.1,119,
0.101062237098813,497,36,982939,57,60,64,71,79,88.1,96,
0.692993563786149,67,452,484597,125,134.9,152,174,202,235,256.1,
0.302752197347581,441,45,251081,74,78,85,94,106,119,129.05,
0.36075993757695,247,362,775044,75,78.9,85,95,107,122,131,
0.794529169239104,16,369,993649,120,132,152,176.5,211,254,282.05,
0.408090266399086,73,3,763018,53,57,65,76,91,107,119,
0.644521885737777,308,68,489055,118,126,140,159,186,213,232,
0.553332721814513,494,75,187235,116,122.9,135,153,173,196,213,
0.727043957822025,136,493,931412,129,136,151,174,200,230.1,247.05,
0.72042679823935,37,41,991097,70,80,93,113,141,167,185.05,
0.630304601788521,242,50,999286,97,103,116,132,154,176,189.05,
0.404502069018781,443,484,836222,85,89,97,108,121,138,147,
0.460143288597465,40,117,989294,59,63,70.75,83,97,115,129.05,
0.19746311455965,422,498,344703,67,70,75,83,93,103,113,
0.431185669079423,31,72,441072,54,58,67,80,94,113,128.05,
0.580549366772175,219,24,647834,92,98,109,125,143,164,178,
0.731554066948593,1,217,591543,97,107.9,124,149,180,216,239,
0.528233456797898,342,400,568554,101,107,119,131.5,151,175,191,
0.887803864479065,66,1,786073,118,133.9,163.75,203,248,316,365,
0.598148774169385,14,2,708191,36,40,49,65,85,109.1,124,
0.625500742718577,30,499,888471,97,105,117,134,154,175,196.05,
0.502374104224145,438,496,356493,105,111,122,135,153,174,186,
0.114295925199986,500,447,278525,60,64,69,75,84,92.1,100,
0.273194036446512,278,488,27442,73,77,84,92,104,117,127,
0.19310591891408,483,428,648927,67,69.9,75,83,93,104,112,
0.747301441431046,435,24,636976,153.95,163,184,206.5,243,275.1,302,
0.666873088851571,145,469,254228,138,146,161,184,215,249,270.1,
0.135450613498688,445,495,17699,62,65,71,78,87,96,102.05,
0.334115262702107,398,312,402679,78,82,89,97.5,111,127,138,
0.117753004468977,52,497,947461,48,51,56,62,72,81,90,
0.785674666985869,473,6,934889,157,165,184,209,241.25,278,305.05,
0.229298335872591,61,363,983105,53,57,62,71,80,92,101,
0.275323743000627,476,341,998785,72,75,80,89.5,101,113,123.05,
0.622648725472391,485,491,429201,136.95,143,156,172,196,221,235.05,
0.251011982746422,441,3,345594,68,71,77,86,98,111,119.05,
0.101413522474468,41,471,297387,47,50,54,61,69,78,84,
0.741339834220707,214,465,53153,196,209,234,269,317,365,404,
0.455441215634346,20,3,222928,38,43,51,63,79.25,100,112,
0.459170326404274,491,474,991651,92,96,106,117,132,147,158,
0.163948791474104,29,14,288001,33.95,36,42,50,59,71.1,79,
0.700453251041472,463,108,26673,177,188,213,243,275,312,346.05,
